X Axis;Y Axis;Z Axis;speed;std speed;flashes;height;flash time;number of flashes;time;direction
3;31;0;2.972.799.769;0.268449346;0.75295645;0.906279087;35;2;1.217.534.943;U
3;32;0;;;;;;0;;U
3;33;0;377.448.148;;0.731471777;0.820340276;32;1;0;U
4;1;0;2.113.993.122;;0.402853489;0.3828336;32;1;0;U
4;2;0;1.799.916.796;2.166.340.376;0.812664382;0.835965514;40.7;50;193.208.005;V
4;3;0;144.339.768;2.099.912.295;0.994408376;0.977275581;4.512.237.762;286;2.000.198.959;U
4;4;0;2.687.129.759;2.336.480.744;0.991092036;0.959261217;4.513.103.448;435;2.019.563.428;U
4;5;0;-4.043.636.665;2.373.610.784;0.99025251;0.943470636;4.623.955.432;359;2.017.141.438;U
4;6;0;-1.143.665.022;2.296.166.293;0.986737396;0.91573915;4.732.608.696;460;1.997.810.717;V
4;7;0;-1.819.613.093;2.188.755.937;0.985914058;0.893591564;4.840.599.455;367;2.011.094.651;U
4;9;0;-3.155.822.211;1.790.334.711;0.974920553;0.818958623;5.437.942.122;311;1.990.129.574;U
4;12;0;-3.921.611.508;1.481.585.273;0.954208358;0.762072761;5.932.512.315;203;2.021.505.218;U
4;15;0;-4.355.599.285;1.402.074.612;0.928563959;0.689138677;6.242.580.645;155;2.010.036.248;U
4;17;0;-4.349.797.929;1.214.307.682;0.919093692;0.683870621;5.836.141.907;451;2.017.453.528;V
4;19;0;-38.578.803;1.405.244.363;0.934598564;0.729995392;5.636.031.332;383;1.994.251.861;U
4;22;0;-2.746.520.536;189.191.074;0.954547807;0.777844362;4.911.688.312;462;2.022.982.648;U
4;24;0;-1.488.154.075;2.305.316.982;0.958664527;0.810350369;4.652.711.223;793;1.994.926.446;U
4;25;0;-6.186.953.237;2.356.275.436;0.967844583;0.844201014;4.514.652.816;1829;2.000.658.292;U
4;26;0;2.958.157.251;238.406.024;0.97142183;0.86462736;4.364.832.536;836;1.997.165.971;U
4;27;0;1.367.641.027;2.331.736.289;0.982735557;0.891672194;4.284.521.385;491;2.006.211.728;U
4;28;0;225.034.703;2.082.513.206;0.994623966;0.933793094;4.170.652.174;276;2.020.805.687;U
4;29;0;2.660.850.043;1.948.639.045;0.996274162;0.973885926;4.343.307.087;127;1.982.416.552;V
4;30;0;3.195.016.647;1.901.627.299;0.960623408;0.951911886;4.420.454.545;44;1.689.623.649;V
4;31;0;3.337.698.376;2.048.599.987;0.706948784;0.7083594;37;9;1.298.781.376;V
4;32;0;;;;;;0;;U
4;33;0;;;;;;0;;U
5;1;0;1.970.653.073;;0.495628238;0.609399557;38;1;0;U
5;2;0;2.600.215.069;209.407.248;0.735524529;0.812918288;39.8;20;1.948.259.653;U
5;3;0;1.640.028.185;2.034.665.942;0.942186628;0.940263981;44.9;80;1.984.871.724;U
5;4;0;9.081.555.195;2.290.052.467;0.991498764;0.962623965;459.512.894;349;1.980.627.298;U
5;5;0;-0.970023779;2.406.978.125;0.986749485;0.935295022;46.25;472;2.011.271.929;U
5;6;0;-828.273.098;2.240.042.257;0.991296172;0.929787711;4.826.086.957;552;1.999.262.041;U
5;7;0;-1.668.337.693;2.224.519.539;0.980520349;0.887733981;4.980.050.505;1188;2.025.114.089;U
5;9;0;-2.702.271.072;190.199.651;0.981188156;0.859757093;5.640.452.756;1016;1.998.785.575;V
5;12;0;-3.829.668.323;1.553.679.653;0.944607931;0.740158746;5.925.560.538;669;1.989.661.014;U
5;15;0;-4.284.021.677;1.262.124.798;0.938601061;0.711146572;6.568.149.883;427;2.011.706.118;U
5;17;0;-4.218.546.743;1.248.052.894;0.92409179;0.689280215;620.403.071;521;1.995.758.588;U
6;19;0;-3.876.740.611;1.438.181.966;0.926242805;0.708539001;5.717.931.034;435;1.987.334.985;U
6;22;0;-2.811.713.614;1.850.997.516;0.945346658;0.762823058;5.161.960.784;765;2.021.964.098;V
6;24;0;-1.272.287.961;2.239.312.823;0.965249971;0.827622038;48.55;780;1.998.033.975;U
6;25;0;-4.734.182.113;2.319.314.759;0.966598444;0.841815319;4.627.002.967;1011;2.025.760.263;U
6;26;0;3.434.171.841;2.251.444.567;0.978062945;0.869746433;4.473.522.167;812;2.016.529.359;U
6;27;0;119.210.011;2.395.399.974;0.983773697;0.906038481;4.436.413.043;552;1.996.105.485;U
6;28;0;1.870.144.517;232.634.945;0.986846731;0.908197976;4.389.473.684;57;2.001.534.833;V
6;29;0;2.661.579.722;1.794.241.767;0.962667349;0.938859371;4.443.882.979;376;2.019.351.502;V
6;30;0;3.472.769.887;1.471.586.109;0.934558456;0.907669468;4.265.254.237;118;1.989.070.218;V
6;31;0;3.098.666.143;1.340.025.928;0.698001764;0.715580155;3.745.454.545;22;1.730.658.538;U
6;32;0;;;;;;;;U
6;33;0;;;;;;0;;U
7;1;0;126.479.117;;0.355977774;0.437521935;32;1;0;U
7;2;0;2.621.808.925;1.799.258.348;0.787047868;0.767249977;3.868.181.818;44;1.917.042.289;U
7;3;0;179.756.839;2.206.744.816;0.902271255;0.91215789;4.402.970.297;101;1.966.280.455;U
7;4;0;1.271.404.849;2.214.738.666;0.9922664;0.966265019;4.718.493.151;292;2.019.374.747;U
7;5;0;3.018.362.117;2.239.970.548;0.987894517;0.950740486;4.909.375;288;2.011.581.737;U
7;6;0;-4.722.341.134;2.310.676.049;0.990910422;0.936066043;5.017.355.372;363;200.653.962;U
7;7;0;-1.177.543.874;215.740.684;0.988649547;0.910334492;5.136.641.221;393;1.985.731.346;U
7;9;0;-2.553.488.186;1.949.259.483;0.979351498;0.842899214;558.275;400;2.001.197.708;U
7;12;0;-3.743.234.819;1.587.008.408;0.952657406;0.742734925;59.088;375;2.020.392.592;U
7;15;0;-4.084.145.459;133.907.742;0.931187796;0.690746462;6.300.408.163;245;2.027.490.894;U
7;17;0;-4.095.039.623;1.317.506.304;0.91719174;0.695724177;6.248.148.148;324;201.533.803;U
